customer_id,order_date,product_id,category_id,category_name,product_name,quantity,price,payment_method,city,review_score,gender,age,Year,Month,Day,Weekday,Rating_Category,Age_Group
13542,2024-12-17,784,10,Electronics,Smartphone,2.0,373.36,Credit Card,New Oliviaberg,2.5,F,56,2024,12,17,Tuesday,Average,Adult
23188,2024-06-01,682,50,Sports & Outdoors,Soccer Ball,5.0,299.34,Credit Card,Port Matthew,4.0,M,59,2024,6,1,Saturday,Good,Senior
55098,2025-02-04,684,50,Sports & Outdoors,Tent,5.0,23.0,Credit Card,West Sarah,5.0,F,64,2025,2,4,Tuesday,Excellent,Senior
65208,2024-10-28,204,40,Books & Stationery,Story Book,2.0,230.11,Bank Transfer,Hernandezburgh,5.0,M,34,2024,10,28,Monday,Excellent,Adult
63872,2024-05-10,202,20,Fashion,Skirt,4.0,176.72,Credit Card,Jenkinshaven,2.5,F,33,2024,5,10,Friday,Average,Adult
29989,2024-12-03,829,10,Electronics,Smartphone,4.0,196.16,Bank Transfer,East Tonyaberg,5.0,F,21,2024,12,3,Tuesday,Excellent,Young Adult
79809,2024-06-07,706,10,Electronics,Tablet,5.0,272.75,Bank Transfer,North Jessicabury,4.0,M,57,2024,6,7,Friday,Good,Adult
27282,2024-07-15,405,50,Sports & Outdoors,Yoga Mat,2.0,292.9,Cash on Delivery,Aliciaberg,4.0,F,60,2024,7,15,Monday,Good,Senior
41394,2024-12-17,549,30,Home & Living,Pillow,3.0,429.11,Credit Card,West Larrymouth,3.0,F,69,2024,12,17,Tuesday,Good,Senior
48695,2024-04-12,545,30,Home & Living,Blanket,4.0,191.39,Credit Card,Lake Ian,5.0,F,34,2024,4,12,Friday,Excellent,Adult
27389,2025-01-31,549,10,Electronics,Smartwatch,2.0,321.14,Cash on Delivery,Elizabethmouth,5.0,M,26,2025,1,31,Friday,Excellent,Young Adult
74067,2024-06-27,773,40,Books & Stationery,Notebook,3.0,494.87,Cash on Delivery,Melanieberg,5.0,M,37,2024,6,27,Thursday,Excellent,Adult
49331,2024-05-21,526,30,Home & Living,Pillow,5.0,122.23,Credit Card,Allisonland,5.0,M,32,2024,5,21,Tuesday,Excellent,Adult
61360,2024-12-03,544,10,Electronics,Laptop,3.0,457.44,Cash on Delivery,Myershaven,5.0,M,60,2024,12,3,Tuesday,Excellent,Senior
24426,2025-02-07,943,40,Books & Stationery,Pen,2.0,443.49,Cash on Delivery,South Tonya,4.0,M,67,2025,2,7,Friday,Good,Senior
10486,2024-09-13,297,20,Fashion,Shirt,2.0,274.1,Cash on Delivery,Port Allisonfort,4.0,F,54,2024,9,13,Friday,Good,Adult
75474,2024-05-22,107,40,Books & Stationery,Notebook,1.0,117.47,Credit Card,Levyport,4.0,M,73,2024,5,22,Wednesday,Good,Senior
79898,2024-03-19,871,10,Electronics,Smartphone,5.0,84.89,Credit Card,Fullerland,5.0,M,68,2024,3,19,Tuesday,Excellent,Senior
41736,2024-10-28,457,10,Electronics,Tablet,4.0,196.99,Bank Transfer,North Anthony,4.0,M,72,2024,10,28,Monday,Good,Senior
69719,2024-12-24,941,10,Electronics,Smartphone,2.0,344.04,Cash on Delivery,North Whitneytown,5.0,F,29,2024,12,24,Tuesday,Excellent,Young Adult
93992,2024-12-05,853,30,Home & Living,Pillow,1.0,153.82,Credit Card,West Cynthiaton,4.0,M,29,2024,12,5,Thursday,Good,Young Adult
65011,2025-02-20,938,30,Home & Living,Carpet,4.0,383.36,Cash on Delivery,East Christopher,5.0,F,42,2025,2,20,Thursday,Excellent,Adult
80441,2024-07-26,867,30,Home & Living,Carpet,2.0,308.4,Credit Card,Port Danielleview,3.0,M,52,2024,7,26,Friday,Good,Adult
95874,2024-12-30,424,50,Sports & Outdoors,Soccer Ball,3.0,303.48,Bank Transfer,East Christopherborough,4.0,M,48,2024,12,30,Monday,Good,Adult
11145,2024-04-09,461,30,Home & Living,Blanket,1.0,38.38,Cash on Delivery,Douglasport,5.0,M,34,2024,4,9,Tuesday,Excellent,Adult
81289,2024-07-18,485,40,Books & Stationery,Novel,1.0,489.21,Cash on Delivery,North Jamesside,5.0,M,60,2024,7,18,Thursday,Excellent,Senior
36732,2025-01-12,704,40,Books & Stationery,Eraser,3.0,90.91,Cash on Delivery,North Carrie,5.0,M,42,2025,1,12,Sunday,Excellent,Adult
33678,2024-04-01,732,20,Fashion,Shirt,1.0,380.08,Cash on Delivery,Port Kenneth,2.5,M,29,2024,4,1,Monday,Average,Young Adult
71289,2025-01-11,815,30,Home & Living,Vase,1.0,450.81,Bank Transfer,East Kylie,4.0,M,50,2025,1,11,Saturday,Good,Adult
86746,2024-03-24,768,30,Home & Living,Pillow,3.0,298.27,Credit Card,Mendezburgh,4.0,M,62,2024,3,24,Sunday,Good,Senior
23094,2025-01-17,658,10,Electronics,Laptop,2.0,43.03,Credit Card,Kristenland,5.0,M,56,2025,1,17,Friday,Excellent,Adult
30037,2024-08-05,314,20,Fashion,Dress,5.0,337.8,Credit Card,Lake Sarah,4.0,F,28,2024,8,5,Monday,Good,Young Adult
61642,2024-11-24,264,50,Sports & Outdoors,Tent,1.0,241.61,Bank Transfer,Fryeberg,5.0,M,19,2024,11,24,Sunday,Excellent,Young Adult
52189,2024-09-01,653,10,Electronics,Tablet,1.0,183.61,Bank Transfer,Lake Michael,4.0,F,49,2024,9,1,Sunday,Good,Adult
71248,2024-07-01,289,10,Electronics,Smartphone,5.0,207.28,Bank Transfer,North Mary,5.0,M,42,2024,7,1,Monday,Excellent,Adult
14872,2024-03-31,353,20,Fashion,Pants,2.0,272.78,Credit Card,Cynthiaport,4.0,M,32,2024,3,31,Sunday,Good,Adult
46992,2024-05-13,824,20,Fashion,T-shirt,2.0,227.13,Cash on Delivery,East Corytown,4.0,F,30,2024,5,13,Monday,Good,Young Adult
21565,2024-08-13,499,50,Sports & Outdoors,Soccer Ball,4.0,484.81,Credit Card,Martinezview,4.0,F,43,2024,8,13,Tuesday,Good,Adult
26160,2025-03-04,374,20,Fashion,Skirt,2.0,452.2,Credit Card,North Terrancehaven,3.0,M,25,2025,3,4,Tuesday,Good,Young Adult
35007,2024-06-09,355,30,Home & Living,Vase,2.0,149.77,Cash on Delivery,Lake Rhondatown,5.0,M,65,2024,6,9,Sunday,Excellent,Senior
93989,2024-04-25,573,50,Sports & Outdoors,Running Shoes,5.0,85.85,Bank Transfer,Williamston,2.5,M,70,2024,4,25,Thursday,Average,Senior
37401,2024-08-16,861,50,Sports & Outdoors,Soccer Ball,1.0,376.51,Credit Card,Lake Jeffrey,4.0,F,63,2024,8,16,Friday,Good,Senior
82700,2024-05-30,410,50,Sports & Outdoors,Basketball,5.0,37.87,Cash on Delivery,New Carolfort,4.0,M,55,2024,5,30,Thursday,Good,Adult
38245,2024-11-11,615,50,Sports & Outdoors,Soccer Ball,4.0,340.85,Credit Card,Franklinmouth,4.0,M,36,2024,11,11,Monday,Good,Adult
76140,2024-06-29,673,50,Sports & Outdoors,Basketball,2.0,293.67,Credit Card,New Terri,5.0,M,65,2024,6,29,Saturday,Excellent,Senior
63313,2024-08-09,182,50,Sports & Outdoors,Tent,5.0,266.16,Bank Transfer,Jeffreyview,2.5,F,59,2024,8,9,Friday,Average,Senior
10299,2024-11-27,971,20,Fashion,Dress,4.0,203.94,Cash on Delivery,Teresaville,5.0,F,33,2024,11,27,Wednesday,Excellent,Adult
32232,2024-09-23,476,10,Electronics,Smartphone,1.0,234.56,Cash on Delivery,Mcdonaldmouth,5.0,M,55,2024,9,23,Monday,Excellent,Adult
48690,2024-04-11,161,20,Fashion,Shirt,3.0,139.95,Bank Transfer,West Geraldhaven,5.0,F,18,2024,4,11,Thursday,Excellent,Young Adult
94108,2025-01-20,837,30,Home & Living,Painting,2.0,87.3,Cash on Delivery,Bowmanmouth,5.0,F,72,2025,1,20,Monday,Excellent,Senior
54503,2024-04-03,416,50,Sports & Outdoors,Soccer Ball,2.0,337.25,Cash on Delivery,Walkerland,2.5,F,42,2024,4,3,Wednesday,Average,Adult
69170,2024-05-30,660,20,Fashion,Dress,4.0,66.56,Credit Card,Port Patriciashire,5.0,M,62,2024,5,30,Thursday,Excellent,Senior
68220,2024-09-15,961,30,Home & Living,Carpet,2.0,113.21,Bank Transfer,Jacobburgh,2.5,F,50,2024,9,15,Sunday,Average,Adult
53004,2024-09-19,309,30,Home & Living,Carpet,5.0,249.38,Credit Card,New Brittanytown,4.0,M,20,2024,9,19,Thursday,Good,Young Adult
57158,2024-07-25,294,30,Home & Living,Pillow,4.0,11.74,Credit Card,Woodshaven,5.0,M,59,2024,7,25,Thursday,Excellent,Senior
15676,2024-04-22,649,40,Books & Stationery,Eraser,3.0,355.78,Cash on Delivery,Rachelland,4.0,M,72,2024,4,22,Monday,Good,Senior
34358,2025-01-16,945,20,Fashion,Shirt,1.0,27.65,Bank Transfer,Gonzalezshire,4.0,M,50,2025,1,16,Thursday,Good,Adult
83983,2024-08-01,395,20,Fashion,T-shirt,5.0,161.05,Credit Card,Blakeshire,5.0,M,55,2024,8,1,Thursday,Excellent,Adult
56955,2024-07-14,922,20,Fashion,T-shirt,1.0,183.3,Cash on Delivery,Whitakerview,5.0,M,24,2024,7,14,Sunday,Excellent,Young Adult
73293,2024-04-30,799,50,Sports & Outdoors,Basketball,1.0,463.62,Credit Card,Port Thomaston,5.0,M,72,2024,4,30,Tuesday,Excellent,Senior
68416,2024-12-15,311,20,Fashion,Skirt,5.0,22.15,Cash on Delivery,New Jeremy,5.0,F,44,2024,12,15,Sunday,Excellent,Adult
51031,2024-05-25,216,40,Books & Stationery,Story Book,4.0,140.73,Cash on Delivery,Lake Nancy,4.0,F,50,2024,5,25,Saturday,Good,Adult
49701,2024-04-21,684,40,Books & Stationery,Story Book,1.0,107.79,Bank Transfer,Lake Jasmineport,3.0,F,63,2024,4,21,Sunday,Good,Senior
32080,2024-05-13,354,20,Fashion,Pants,4.0,21.6,Credit Card,Garrisonberg,3.0,M,18,2024,5,13,Monday,Good,Young Adult
13112,2024-12-15,202,10,Electronics,Headphones,2.0,182.06,Cash on Delivery,South Katherineside,3.0,M,35,2024,12,15,Sunday,Good,Adult
27303,2024-05-25,119,50,Sports & Outdoors,Yoga Mat,1.0,470.23,Credit Card,Mccallhaven,5.0,M,26,2024,5,25,Saturday,Excellent,Young Adult
89064,2024-11-10,533,50,Sports & Outdoors,Yoga Mat,3.0,28.75,Cash on Delivery,Lake Teresafurt,4.0,F,74,2024,11,10,Sunday,Good,Senior
76490,2024-12-17,362,30,Home & Living,Vase,5.0,307.04,Cash on Delivery,Roymouth,4.0,F,48,2024,12,17,Tuesday,Good,Adult
45081,2025-02-05,721,20,Fashion,Dress,4.0,31.75,Bank Transfer,East Charles,4.0,M,55,2025,2,5,Wednesday,Good,Adult
65624,2024-03-26,732,50,Sports & Outdoors,Basketball,2.0,188.47,Credit Card,West Krista,5.0,M,63,2024,3,26,Tuesday,Excellent,Senior
94700,2024-06-15,675,50,Sports & Outdoors,Yoga Mat,3.0,335.06,Credit Card,Hobbston,5.0,M,23,2024,6,15,Saturday,Excellent,Young Adult
73009,2024-03-27,569,30,Home & Living,Vase,4.0,169.83,Cash on Delivery,Jacobfurt,2.5,M,29,2024,3,27,Wednesday,Average,Young Adult
55865,2024-03-26,915,40,Books & Stationery,Pen,1.0,341.89,Credit Card,New Felicia,5.0,M,64,2024,3,26,Tuesday,Excellent,Senior
75453,2024-06-22,260,50,Sports & Outdoors,Soccer Ball,3.0,158.9,Credit Card,Spencerside,4.0,F,33,2024,6,22,Saturday,Good,Adult
